RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
1668.0,Dickson,Tennessee,268,135100.0,130300.0,111800.0,107200.0,105600.0,111300.0,104500.0,102900.0,100600.0,107200.0,12e4,127700.0,129600.0,116400.0,104500.0,101100.0,104300.0,106500.0,114900.0,114100.0,115900.0,108400.0,110500.0,115500.0,118700.0,117400.0,106500.0,101e3,105400.0,109e3,113100.0,98500.0,102100.0,103200.0,105700.0,114500.0,104500.0,112900.0,98800.0,106400.0,104400.0,106600.0,103300.0,101200.0,105800.0,111900.0,112200.0,109900.0,110500.0,112600.0,107700.0,101600.0,102500.0,109300.0,110600.0,108e3,106600.0,116900.0,115200.0,128700.0,122e3,130300.0,114e3,112700.0,111800.0,112500.0,112600.0,106500.0,111e3,118400.0,123100.0,117e3,111100.0,107900.0,112700.0,115200.0,118200.0,116900.0,112900.0,116600.0,117100.0,123100.0,129100.0,139800.0,142600.0,135400.0,128400.0,125400.0,124500.0,120200.0,123e3,125800.0,124600.0,116700.0,111700.0,115700.0,121200.0,125400.0,123900.0,130400.0,131800.0,141800.0,147200.0,152300.0,154500.0,156e3,159200.0,172500.0,166700.0,161800.0,141100.0,149400.0,155900.0,164500.0,161400.0,154900.0,155900.0,
3118.0,Queen Annes,Maryland,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261700.0,258500.0,268200.0,267800.0,289300.0,285200.0,302700.0,283900.0,285900.0,277800.0,267100.0,261200.0,279500.0,276500.0,274400.0,278300.0,301700.0,327300.0,314500.0,308200.0,297900.0,305200.0,306200.0,304100.0,293e3,298900.0,294500.0,
1401.0,Stokes,North Carolina,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113800.0,116900.0,119e3,116700.0,118300.0,123e3,129700.0,121900.0,110700.0,107e3,105600.0,11e4,104e3,117400.0,118900.0,128300.0,117200.0,115900.0,118800.0,123700.0,125100.0,119500.0,111400.0,104900.0,104800.0,118e3,130700.0,139e3,139300.0
2240.0,Culpeper,Virginia,271,241800.0,229900.0,225800.0,222100.0,219600.0,214500.0,215700.0,211200.0,202e3,197200.0,190700.0,185400.0,176100.0,168300.0,168700.0,168100.0,179200.0,182300.0,185300.0,181200.0,187700.0,188100.0,184100.0,176800.0,172e3,172300.0,18e4,175600.0,170800.0,163500.0,161400.0,177600.0,184400.0,200200.0,183900.0,166200.0,156700.0,156700.0,157800.0,152400.0,173e3,182300.0,190500.0,169300.0,169900.0,158900.0,160300.0,162300.0,167900.0,171900.0,175700.0,178100.0,191800.0,184700.0,187e3,165100.0,176700.0,178e3,184100.0,172400.0,167e3,184e3,186700.0,188600.0,192e3,194500.0,203900.0,205900.0,216e3,215300.0,216400.0,215700.0,225300.0,222800.0,229500.0,230200.0,234400.0,225100.0,218e3,209600.0,216900.0,232700.0,241100.0,239600.0,233600.0,230300.0,224300.0,224200.0,221300.0,231400.0,232500.0,240500.0,220100.0,219700.0,213100.0,230800.0,232700.0,237500.0,240900.0,244500.0,243100.0,248300.0,250400.0,251e3,238900.0,249200.0,248500.0,233900.0,212200.0,220900.0,257300.0,263400.0,267700.0,268100.0,267700.0,256900.0,246200.0,
1471.0,Warren,Iowa,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154500.0,155700.0,175100.0,183100.0,181300.0,189600.0,185200.0,193100.0,174300.0,169500.0,159e3,155400.0,154400.0,155900.0,155800.0,159100.0,173400.0,178500.0,175200.0,171e3,172e3,182400.0,175600.0,176e3,171300.0,168400.0,172700.0,
682.0,Perry,Pennsylvania,273,145200.0,146900.0,139700.0,130300.0,133e3,129300.0,133600.0,142100.0,138100.0,140500.0,145400.0,146800.0,142500.0,140600.0,141e3,147300.0,132700.0,123600.0,118400.0,123200.0,131900.0,134300.0,134900.0,134400.0,134600.0,127300.0,130300.0,140900.0,135200.0,124300.0,121300.0,126600.0,138600.0,129500.0,132700.0,148500.0,152200.0,149800.0,129600.0,135900.0,139900.0,138e3,127500.0,116300.0,121100.0,124e3,122100.0,123100.0,114200.0,129e3,128500.0,145500.0,140700.0,134300.0,129900.0,136800.0,144700.0,133600.0,133700.0,136400.0,146e3,132300.0,131400.0,142200.0,151e3,147300.0,136800.0,138900.0,138800.0,130500.0,128e3,131200.0,132800.0,136700.0,133300.0,136e3,133200.0,138800.0,136900.0,134100.0,128600.0,134900.0,133900.0,136300.0,133100.0,136900.0,138600.0,133900.0,134e3,133200.0,136700.0,138400.0,142900.0,144600.0,148700.0,143100.0,143500.0,137300.0,140900.0,146200.0,158100.0,152200.0,150700.0,147600.0,144500.0,149100.0,137800.0,156600.0,142100.0,131e3,121700.0,134e3,151200.0,144400.0,151900.0,161200.0,163600.0,163900.0
1497.0,Wilson,Texas,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236900.0,216400.0,214400.0,224300.0,256200.0,265700.0,274500.0,269200.0,243800.0,238900.0,243900.0,265600.0,259200.0,260800.0,247700.0,246500.0,234100.0,241900.0,246600.0,248200.0,250600.0,243600.0,245200.0,238e3,244900.0,251500.0,262400.0,262400.0,261800.0,255e3,251600.0,255800.0,262e3,268700.0,275300.0,273700.0,289300.0,278200.0,290300.0,288400.0,308900.0,332500.0,323600.0,289900.0,255700.0,258900.0,288e3,293500.0,296700.0,284700.0,285e3,284200.0,,
1954.0,Orleans,New York,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74e3,83e3,88100.0,89300.0,94300.0,93100.0,84800.0,81700.0,81700.0,86100.0,79600.0,77100.0,77900.0,83500.0,77900.0,81100.0,75500.0,74700.0,68800.0,68500.0,73800.0,75e3,70800.0,72800.0,79400.0,84900.0,84600.0,79200.0,80500.0,80900.0,83200.0,82500.0,83900.0,83900.0,86300.0,85600.0,84e3,82300.0,73900.0,75600.0,74600.0,81700.0,79300.0,78900.0,77800.0,83100.0,81800.0,80500.0,79100.0,82600.0,77400.0,82900.0,79300.0,84500.0,83100.0,89300.0,91500.0,90500.0,88100.0,93e3,
1385.0,Shelby,Kentucky,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152100.0,144400.0,147500.0,146700.0,142200.0,148e3,133400.0,137100.0,141600.0,157100.0,163300.0,158300.0,160500.0,162500.0,161500.0,160700.0,153e3,156300.0,149800.0,153900.0,152400.0,169e3,176300.0,176100.0,166100.0,167200.0,165400.0,168500.0,169600.0,166200.0,161600.0,153e3,168400.0,18e4,187600.0,182300.0,184e3,182700.0,186800.0,187800.0,
612.0,Logan,Oklahoma,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170800.0,152400.0,143900.0,155200.0,167400.0,178100.0,174300.0,173600.0,178900.0,181400.0,196e3,204400.0,224100.0,216900.0,206200.0,188300.0,187e3,180300.0,180500.0,171900.0,174900.0,151900.0,159e3,154e3,160800.0,156300.0,167800.0,179900.0,192800.0,185200.0,184100.0,175900.0,171100.0,168100.0,174300.0
