Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
acres,"12,021","18,331",-,"4,924","9,859",(D),"3,652",,(D),,,,
"2,000 acres or more ...........................................................farms",2,16,-,-,1,2,2,,-,,,,
acres,(D),"51,474",-,-,(D),(D),(D),,-,,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",601,796,401,424,407,967,386,,586,,,,
2002,708,830,525,592,431,"1,342",460,,803,,,,
"acres, 2007","48,624","121,978","18,252","30,323","36,363","43,984","31,468",,"27,557",,,,
2002,"59,177","121,606","19,140","43,091","43,129","64,129","33,354",,"40,968",,,,
"Harvested cropland ......................................................farms, 2007",482,520,347,347,257,843,321,,483,,,,
2002,519,522,418,453,270,"1,185",366,,685,,,,
"acres, 2007","31,440","91,842","11,283","17,331","21,252","25,985","18,253",,"16,862",,,,
2002,"30,714","90,801","10,138","19,766","24,686","27,840","15,853",,"19,634",,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",202,233,133,153,106,336,156,,235,,,,
2002,442,367,318,366,173,804,309,,516,,,,
"acres, 2007","14,587","12,413","5,556","7,520","7,295","13,870","11,130",,"7,129",,,,
2002,"25,679","15,576","7,992","17,291","8,263","28,711","15,950",,"17,962",,,,
Item,Coffee,Crockett,Cumberland,Davidson,Decatur,DeKalb,Dickson,Dyer,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms ...........................................................................number, 2007","1,008",470,842,515,455,722,"1,285",584,,,,,
2002,"1,069",420,854,560,438,887,"1,448",534,,,,,
"Land in farms .................................................................. acres, 2007","139,945","149,227","122,554","41,353","76,378","95,315","139,176","238,614",,,,,
2002,"145,334","145,091","110,012","50,525","88,313","100,421","157,806","212,504",,,,,
"Average size of farm ............................................... acres, 2007",139,318,146,80,168,132,108,409,,,,,
2002,136,345,129,90,202,113,109,398,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings ................. farms, 2007","1,008",470,842,515,455,722,"1,285",584,,,,,
2002,"1,074",419,858,561,438,890,"1,448",535,,,,,
"$1,000, 2007","490,415","348,908","429,913","257,175","160,727","302,999","472,003","656,497",,,,,
2002,"380,199","292,035","359,144","268,878","122,652","235,868","371,825","418,164",,,,,
"Average per farm .................................................. dollars, 2007","486,522","742,358","510,586","499,368","353,247","419,666","367,318","1,124,138",,,,,
2002,"354,002","696,981","418,582","479,284","280,028","265,020","256,785","781,615",,,,,
"Average per acre ................................................... dollars, 2007","3,504","2,338","3,508","6,219","2,104","3,179","3,391","2,751",,,,,
2002,"2,581","2,048","2,570","6,559","1,326","2,544","2,612","1,896",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 .............................................................................",65,58,50,48,38,43,85,61,,,,,
"$50,000 to $99,999 ....................................................................",124,76,65,39,57,60,113,102,,,,,
"$100,000 to $199,999 ................................................................",239,101,151,78,121,176,287,86,,,,,
"$200,000 to $499,999 ................................................................",334,115,346,206,152,269,499,173,,,,,
"$500,000 to $999,999 ................................................................",134,47,138,98,65,110,223,39,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ..........................................................",69,27,64,33,15,48,65,34,,,,,
"$2,000,000 to $4,999,999 ..........................................................",36,30,22,7,6,14,12,53,,,,,
"$5,000,000 to $9,999,999 ..........................................................",5,15,4,4,1,2,1,28,,,,,
"$10,000,000 or more ..................................................................",2,1,2,2,-,-,-,8,,,,,
,,,,,,,,,,,,,
"Approximate land area .................................................... acres, 2007","274,339","169,859","435,893","321,030","213,693","194,924","313,488","326,710",,,,,
"Proportion in farms ............................................... percent, 2007",51,87.9,28.1,12.9,35.7,48.9,44.4,73,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,85,25,79,60,16,44,114,30,,,,,
acres,445,146,450,(D),60,213,593,188,,,,,
10 to 49 acres ................................................................... farms,405,166,312,235,105,242,466,189,,,,,
acres,"10,218","4,572","8,122","5,713","3,109","6,504","12,899","4,990",,,,,
50 to 69 acres ................................................................... farms,112,57,61,51,55,86,145,57,,,,,
acres,"6,358","3,239","3,533","2,865","3,237","4,893","8,375","3,193",,,,,
70 to 99 acres ................................................................... farms,93,43,86,48,51,77,129,48,,,,,
acres,"7,512","3,712","7,031","3,969","4,235","6,481","10,703","3,905",,,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,87,53,64,42,59,74,124,50,,,,,
acres,"9,939","5,973","7,594","4,788","6,987","8,561","14,363","5,787",,,,,
140 to 179 acres ............................................................... farms,36,23,59,21,42,42,81,33,,,,,
acres,"5,798","3,625","9,205","3,358","6,582","6,610","12,702","5,090",,,,,
180 to 219 acres ............................................................... farms,29,7,37,13,17,36,55,17,,,,,
acres,"5,665","1,439","7,244","2,521","3,353","7,136","10,838","3,359",,,,,
220 to 259 acres ............................................................... farms,20,3,27,11,26,40,43,11,,,,,
acres,"4,833",725,"6,504","2,628","6,230","9,334","10,270","2,622",,,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,77,20,71,26,55,50,99,28,,,,,
acres,"25,648","7,444","26,349","9,047","19,578","17,618","34,248","9,710",,,,,
500 to 999 acres ............................................................... farms,41,32,29,7,24,18,20,47,,,,,
acres,"26,896","20,876","20,782","5,110","14,869","11,983","12,803","34,254",,,,,
"1,000 to 1,999 acres .......................................................... farms",17,23,14,1,4,13,9,37,,,,,
acres,"20,022","34,689","18,915",(D),(D),"15,982","11,382","51,308",,,,,
"2,000 acres or more .......................................................... farms",6,18,3,-,1,-,-,37,,,,,
acres,"16,611","62,787","6,825",-,(D),-,-,"114,208",,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ....................................................................... farms,86,2,54,57,2,73,72,20,,,,,
acres,493,(D),(D),(D),(D),322,(D),108,,,,,
10 to 49 acres ................................................................... farms,427,155,302,243,83,323,507,172,,,,,
acres,"11,362","4,327","8,019","6,183","2,238","8,793","13,502","4,389",,,,,
50 to 69 acres ................................................................... farms,115,46,96,51,33,79,142,52,,,,,
acres,"6,741",(D),"5,432","2,857","1,903","4,641","8,213","3,024",,,,,
70 to 99 acres ................................................................... farms,93,35,133,52,50,100,186,37,,,,,
acres,"7,518","2,944","11,093","4,163","4,025","8,309","15,382","3,129",,,,,
,,,,,,,,,,,,,
100 to 139 acres ............................................................... farms,90,48,63,53,68,97,202,50,,,,,
acres,"10,545","5,434","7,363","6,128","7,882","11,405","23,536","5,638",,,,,
140 to 179 acres ............................................................... farms,57,21,46,26,46,56,112,31,,,,,
acres,"9,048","3,246","7,092","4,114","7,153","8,947","17,641","4,872",,,,,
180 to 219 acres ............................................................... farms,46,17,37,32,38,47,68,20,,,,,
acres,"9,198","3,261","7,316","6,199","7,553","9,299","13,473","4,021",,,,,
220 to 259 acres ............................................................... farms,25,3,34,10,18,18,31,15,,,,,
acres,"6,019",(D),"8,114","2,395","4,260","4,248","7,319","3,579",,,,,
,,,,,,,,,,,,,
260 to 499 acres ............................................................... farms,68,25,49,22,72,66,99,38,,,,,
acres,"23,934","8,667","17,249","7,870","25,470","22,383","33,434","13,369",,,,,
500 to 999 acres ............................................................... farms,40,21,28,13,21,24,21,38,,,,,
acres,"25,416","15,754","19,163","9,380","13,804","15,928","13,427","27,296",,,,,
"1,000 to 1,999 acres .......................................................... farms",17,29,10,1,5,4,7,33,,,,,
acres,"20,645","43,577","13,860",(D),(D),"6,146","9,405","49,110",,,,,
"2,000 acres or more .......................................................... farms",5,18,2,-,2,-,1,28,,,,,
acres,"14,415","54,440",(D),-,(D),-,(D),"93,969",,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland ................................................................. farms, 2007",753,391,624,322,361,526,935,494,,,,,
2002,902,377,740,404,390,731,"1,195",462,,,,,
"acres, 2007","83,786","133,999","54,320","17,410","33,091","38,723","55,294","218,854",,,,,
2002,"95,370","126,480","60,141","22,652","39,877","50,198","73,500","194,220",,,,,
"Harvested cropland ..................................................... farms, 2007",641,273,501,226,254,425,744,345,,,,,
2002,671,298,523,258,272,521,854,330,,,,,
"acres, 2007","64,211","113,321","33,522","7,815","17,018","23,017","30,204","190,399",,,,,
2002,"66,618","106,999","32,859","9,836","18,665","23,020","32,908","173,489",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing .................. farms, 2007",249,85,231,123,139,172,365,127,,,,,
2002,513,139,512,255,213,467,782,145,,,,,
"acres, 2007","14,421","7,830","15,633","6,599","9,438","12,020","18,714","10,487",,,,,
2002,"22,833","10,920","22,521","10,364","15,522","23,426","34,417","12,428",,,,,
Item,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,,,,,
ARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"arms .......................................................................... number, 2007",952,623,"1,104","1,049","1,789","1,008","3,061",328,,,,,
2002,894,573,"1,135","1,092","1,922","1,216","3,367",409,,,,,
"and in farms ...................................................................acres, 2007","227,434","84,371","144,252","286,769","261,411","91,862","229,204","42,668",,,,,
2002,"273,817","79,593","152,900","310,959","270,887","103,475","246,717","42,130",,,,,
"Average size of farm ................................................acres, 2007",239,135,131,273,146,91,75,130,,,,,
2002,306,139,135,285,141,85,73,103,,,,,
,,,,,,,,,,,,,
"stimated market value of land and buildings .................farms, 2007",952,623,"1,104","1,049","1,789","1,008","3,061",328,,,,,
2002,899,571,"1,129","1,095","1,923","1,220","3,364",408,,,,,
"$1,000, 2007","734,892","294,680","538,402","734,115","827,124","347,772","978,616","138,323",,,,,
2002,"584,589","188,251","378,788","503,006","481,512","258,155","752,369","83,239",,,,,
"Average per farm ................................................... dollars, 2007","771,945","473,001","487,683","699,824","462,339","345,012","319,705","421,717",,,,,
