Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Van Buren,Warren,Washington,Wayne,Weakley,White,Williamson,Wilson,,,,,
ARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"arms .......................................................................... number, 2007",213,"1,331","1,650",646,"1,214","1,035","1,442","1,745",,,,,
2002,230,"1,594","1,913",713,"1,231","1,168","1,712","2,142",,,,,
"and in farms ...................................................................acres, 2007","34,844","160,583","118,595","115,307","255,550","131,652","161,851","192,920",,,,,
2002,"31,584","172,549","133,721","124,977","239,635","137,315","202,230","234,951",,,,,
"Average size of farm ................................................acres, 2007",164,121,72,178,211,127,112,111,,,,,
2002,137,108,70,175,195,118,118,110,,,,,
,,,,,,,,,,,,,
"stimated market value of land and buildings .................farms, 2007",213,"1,331","1,650",646,"1,214","1,035","1,442","1,745",,,,,
2002,233,"1,596","1,909",716,"1,230","1,167","1,710","2,144",,,,,
"$1,000, 2007","99,215","567,133","653,969","253,951","646,854","432,628","868,638","789,832",,,,,
2002,"64,988","440,073","571,612","164,422","385,775","346,737","886,748","797,577",,,,,
"Average per farm ................................................... dollars, 2007","465,800","426,095","396,345","393,113","532,829","417,998","602,384","452,626",,,,,
2002,"278,917","275,735","299,430","229,640","313,638","297,118","518,566","372,004",,,,,
"Average per acre ................................................... dollars, 2007","2,847","3,532","5,514","2,202","2,531","3,286","5,367","4,094",,,,,
2002,"1,982","2,448","4,056","1,288","1,524","2,508","5,166","3,307",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",8,129,141,36,160,81,48,101,,,,,
"$50,000 to $99,999 .....................................................................",22,179,188,77,203,114,104,158,,,,,
"$100,000 to $199,999 .................................................................",36,280,335,144,278,226,177,276,,,,,
"$200,000 to $499,999 .................................................................",83,452,618,246,318,353,579,726,,,,,
"$500,000 to $999,999 .................................................................",47,171,260,99,133,178,377,329,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",12,74,73,29,54,60,95,116,,,,,
"$2,000,000 to $4,999,999 ...........................................................",4,37,28,13,45,20,48,33,,,,,
"$5,000,000 to $9,999,999 ...........................................................",1,9,6,2,16,2,9,4,,,,,
"$10,000,000 or more ..................................................................",-,-,1,-,7,1,5,2,,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","175,012","276,920","208,838","469,746","371,317","241,012","372,929","365,164",,,,,
"Proportion in farms ...............................................percent, 2007",19.9,58,56.8,24.5,68.8,54.6,43.4,52.8,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,5,150,221,19,62,79,124,168,,,,,
acres,27,746,"1,262",135,365,344,728,992,,,,,
10 to 49 acres ....................................................................farms,68,493,773,146,417,349,600,619,,,,,
acres,"1,916","12,629","19,421","3,724","11,350","9,190","15,488","15,261",,,,,
50 to 69 acres ....................................................................farms,19,132,181,72,139,98,153,151,,,,,
acres,"1,120","7,460","10,645","4,214","8,197","5,557","8,872","8,784",,,,,
70 to 99 acres ....................................................................farms,22,115,146,86,149,108,137,214,,,,,
acres,"1,850","9,462","11,939","7,128","12,232","8,931","11,176","17,716",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,22,121,125,80,154,115,127,181,,,,,
acres,"2,471","14,175","14,453","9,275","17,957","13,388","14,555","21,176",,,,,
140 to 179 acres ................................................................farms,16,77,69,50,60,76,68,108,,,,,
acres,"2,412","11,948","10,850","7,814","9,452","12,001","10,803","17,265",,,,,
180 to 219 acres ................................................................farms,16,55,31,41,42,56,50,71,,,,,
acres,"3,137","10,929","6,107","8,096","8,296","11,085","9,859","14,045",,,,,
220 to 259 acres ................................................................farms,10,33,30,24,25,42,35,52,,,,,
acres,"2,466","7,876","7,213",(D),"6,061","10,037","8,368","12,406",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,17,98,45,84,62,69,104,132,,,,,
acres,"5,510","35,261","16,089","29,431","23,147","24,193","35,852","45,197",,,,,
500 to 999 acres ................................................................farms,14,44,25,30,44,37,27,43,,,,,
acres,"9,039","29,063","16,285","20,255","32,705","24,330","18,391","29,422",,,,,
"1,000 to 1,999 acres ..........................................................farms",4,9,4,12,38,3,14,5,,,,,
acres,"4,896","11,890","4,331","14,820","52,669","4,200","19,358",(D),,,,,
"2,000 acres or more ...........................................................farms",-,4,-,2,22,3,3,1,,,,,
acres,-,"9,144",-,(D),"73,119","8,396","8,401",(D),,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,15,139,267,16,43,57,110,137,,,,,
acres,110,651,"1,482",113,226,271,577,797,,,,,
10 to 49 acres ....................................................................farms,67,651,940,166,477,429,689,811,,,,,
acres,"1,727","16,908","23,556","4,656","13,339","11,013","18,337","20,829",,,,,
50 to 69 acres ....................................................................farms,27,174,191,79,161,122,176,235,,,,,
acres,"1,621","10,194","11,046","4,550","9,337","7,031","10,057","13,524",,,,,
70 to 99 acres ....................................................................farms,30,156,170,84,139,134,195,258,,,,,
acres,"2,487","12,941","14,137","7,031","11,487","11,154","15,945","21,327",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,23,143,129,82,119,147,148,234,,,,,
acres,"2,738","16,445","15,231","9,521","13,879","16,562","17,338","27,037",,,,,
140 to 179 acres ................................................................farms,18,81,65,67,62,90,109,127,,,,,
acres,"2,858","12,534","9,954","10,678","9,637","13,946","16,819","19,954",,,,,
180 to 219 acres ................................................................farms,11,49,37,54,38,45,81,98,,,,,
acres,(D),"9,620","7,352",(D),"7,631","8,961","16,034","19,056",,,,,
220 to 259 acres ................................................................farms,12,39,23,26,27,34,40,57,,,,,
acres,"2,801","9,304","5,496","6,182","6,384","8,083","9,419","13,615",,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,17,100,53,88,68,76,109,128,,,,,
acres,"5,949","34,726","17,534","30,093","24,436","26,673","37,399","44,613",,,,,
500 to 999 acres ................................................................farms,9,51,32,38,44,27,36,41,,,,,
acres,"6,413","33,956","20,682","24,326","32,148","18,252","26,277","26,641",,,,,
"1,000 to 1,999 acres ..........................................................farms",-,11,6,12,32,5,12,11,,,,,
acres,-,"15,270","7,251","15,102","44,719",(D),"15,611","14,608",,,,,
"2,000 acres or more ...........................................................farms",1,-,-,1,21,2,7,5,,,,,
acres,(D),-,-,(D),"66,412",(D),"18,417","12,950",,,,,
,,,,,,,,,,,,,
AND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"otal cropland ..................................................................farms, 2007",164,"1,051","1,392",495,"1,017",791,"1,009","1,189",,,,,
2002,175,"1,369","1,748",568,"1,037","1,010","1,392","1,747",,,,,
"acres, 2007","14,267","91,434","62,646","41,334","204,739","56,816","69,786","69,093",,,,,
2002,"12,866","106,415","87,121","54,147","188,033","74,358","109,271","122,787",,,,,
"Harvested cropland ......................................................farms, 2007",146,895,"1,210",399,662,674,812,920,,,,,
2002,142,"1,129","1,512",414,664,797,"1,022","1,216",,,,,
"acres, 2007","7,544","63,485","44,461","20,372","168,342","33,258","44,628","41,681",,,,,
2002,"5,807","61,775","52,626","22,119","153,793","38,798","56,753","54,080",,,,,
,,,,,,,,,,,,,
"Cropland used only for pasture or grazing ...................farms, 2007",42,316,515,197,289,288,334,425,,,,,
2002,111,656,"1,129",404,379,678,877,"1,158",,,,,
"acres, 2007","2,810","18,381","14,577","16,763","14,501","19,949","19,403","22,437",,,,,
2002,"5,244","35,374","31,287","28,186","15,791","32,870","44,973","62,760",,,,,
Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007","12,828",64,169,165,82,136,100,44,,,,,
2002,"15,402",80,215,173,91,163,90,73,,,,,
"acres, 2007","630,085","1,027","8,713","9,608","3,449","3,307","2,918","1,277",,,,,
2002,"561,535","2,457","6,312","6,961","4,960","2,558","2,385","1,091",,,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) .......................... farms, 2007","9,625",53,106,142,63,89,75,26,,,,,
2002,"13,790",72,191,167,84,143,80,63,,,,,
"acres, 2007","416,333",795,"4,150","8,738","2,693","2,074","2,283",410,,,,,
2002,"508,592","2,364","5,373","6,895","4,771","2,234","2,229",698,,,,,
"Cropland on which all crops failed ........................... farms, 2007","3,980",18,74,27,26,51,33,24,,,,,
2002,"2,397",14,37,13,11,28,13,22,,,,,
"acres, 2007","213,530",232,"4,563",870,756,"1,227",635,867,,,,,
2002,"51,955",93,(D),66,189,(D),156,393,,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ...................... farms, 2007",96,-,-,-,-,4,-,-,,,,,
2002,127,-,1,-,-,2,-,-,,,,,
"acres, 2007",222,-,-,-,-,6,-,-,,,,,
2002,988,-,(D),-,-,(D),-,-,,,,,
,,,,,,,,,,,,,
"Total woodland ................................................................ farms, 2007","43,439",326,836,298,319,596,455,254,,,,,
2002,"48,618",369,859,346,318,712,473,245,,,,,
"acres, 2007","2,042,868","10,799","36,152","17,270","17,045","15,338","19,111","6,483",,,,,
2002,"2,338,495","12,974","38,296","19,621","21,127","17,460","23,121","8,297",,,,,
,,,,,,,,,,,,,
"Woodland pastured ..................................................... farms, 2007","25,028",161,586,119,205,380,246,169,,,,,
2002,"27,764",192,610,175,182,424,283,160,,,,,
"acres, 2007","769,416","2,891","20,856","3,164","5,456","6,929","7,528","2,568",,,,,
2002,"850,513","3,790","22,449","5,589","6,505","8,212","7,998","4,235",,,,,
"Woodland not pastured ............................................... farms, 2007","26,310",241,391,238,189,341,287,153,,,,,
2002,"29,932",261,374,249,201,406,293,142,,,,,
"acres, 2007","1,273,452","7,908","15,296","14,106","11,589","8,409","11,583","3,915",,,,,
2002,"1,487,982","9,184","15,847","14,032","14,622","9,248","15,123","4,062",,,,,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) .................. farms, 2007","48,245",327,999,260,368,767,610,289,,,,,
2002,"36,769",255,804,253,230,506,452,169,,,,,
"acres, 2007","2,545,047","10,515","80,446","14,737","28,944","27,704","32,462","12,095",,,,,
2002,"1,948,445","7,431","56,406","14,845","16,590","15,716","21,453","6,514",,,,,
,,,,,,,,,,,,,
"Land in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. ......................... farms, 2007","35,426",251,765,209,257,512,435,137,,,,,
2002,"41,935",294,833,274,256,657,461,170,,,,,
"acres, 2007","334,535","1,796","7,722","2,919","3,013","3,814","3,487",724,,,,,
2002,"401,601","2,135","9,538","3,069","3,349","3,932","3,905",922,,,,,
"Pastureland, all types ...................................................... farms, 2007","62,682",434,"1,302",350,485,979,776,352,,,,,
2002,"68,685",498,"1,424",440,473,"1,051",784,349,,,,,
"acres, 2007","4,505,286","20,109","136,277","29,238","49,006","49,338","52,689","19,427",,,,,
2002,"4,865,055","22,722","126,372","36,173","45,983","53,425","48,208","18,931",,,,,
,,,,,,,,,,,,,
CONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ............... farms, 2007","5,220",1,29,124,20,-,9,1,,,,,
2002,"4,346",-,33,107,17,-,5,1,,,,,
"acres, 2007","289,200",(D),"1,541","7,216",453,-,292,(D),,,,,
2002,"227,996",-,"1,829","5,422",679,-,201,(D),,,,,
,,,,,,,,,,,,,
Land enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ....................................................................... farms, 2007","3,275",-,32,4,6,10,6,1,,,,,
2002,"5,973",1,68,16,22,42,8,30,,,,,
"acres, 2007","1,864,247",-,"9,883","2,855","1,105","2,577","1,145",(D),,,,,
2002,"1,900,567",(D),"12,776","4,627","1,905","1,924",225,237,,,,,
ee footnote(s) at end of table.,,,,,,,,#NAME?,,,,,
Item,Cannon,Carroll,Carter,,Cheatham,Chester,Claiborne,Clay,,Cocke,,,
AND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
otal cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland .............................................................farms, 2007",81,286,74,,110,167,128,67,,107,,,
2002,104,342,71,,169,208,289,69,,169,,,
"acres, 2007","2,597","17,723","1,413",,"5,472","7,816","4,129","2,085",,"3,566",,,
2002,"2,784","15,229","1,010",,"6,034","10,180","7,578","1,551",,"3,372",,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) ...........................farms, 2007",59,262,57,,87,144,89,44,,69,,,
2002,87,330,68,,152,195,259,62,,137,,,
"acres, 2007","1,655","14,144",848,,"2,747","6,026","2,866","1,142",,"1,928",,,
2002,"2,438","14,790",972,,"5,671","9,848","7,003","1,477",,"2,954",,,
"Cropland on which all crops failed ...........................farms, 2007",26,42,30,,26,32,54,25,,44,,,
2002,26,19,7,,28,21,56,9,,52,,,
"acres, 2007",942,(D),565,,"2,725","1,790",(D),943,,(D),,,
2002,346,439,38,,363,332,(D),(D),,418,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ......................farms, 2007",-,1,-,,-,-,2,-,,1,,,
2002,-,-,-,,-,-,2,2,,-,,,
"acres, 2007",-,(D),-,,-,-,(D),-,,(D),,,
2002,-,-,-,,-,-,(D),(D),,-,,,
,,,,,,,,,,,,,
"otal woodland ................................................................farms, 2007",531,534,327,,336,263,739,273,,447,,,
2002,567,576,331,,381,300,911,340,,556,,,
"acres, 2007","30,212","32,398","9,312",,"14,182","19,332","30,825","23,515",,"16,043",,,
2002,"30,387","36,829","10,987",,"16,903","18,628","37,872","24,653",,"20,171",,,
,,,,,,,,,,,,,
"Woodland pastured ......................................................farms, 2007",344,211,212,,179,94,478,150,,244,,,
2002,387,288,196,,185,132,552,201,,308,,,
"acres, 2007","19,024","6,152","4,836",,"4,470","3,730","12,726","8,960",,"4,959",,,
2002,"17,462","8,978","3,897",,"5,460","3,569","12,893","10,313",,"6,417",,,
"Woodland not pastured ................................................farms, 2007",271,419,174,,227,219,427,183,,307,,,
2002,299,405,187,,278,241,580,207,,396,,,
"acres, 2007","11,188","26,246","4,476",,"9,712","15,602","18,099","14,555",,"11,084",,,
2002,"12,925","27,851","7,090",,"11,443","15,059","24,979","14,340",,"13,754",,,
,,,,,,,,,,,,,
"ermanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) ...................farms, 2007",604,413,332,,350,246,777,292,,445,,,
2002,484,339,203,,244,195,522,200,,312,,,
"acres, 2007","34,738","17,142","10,858",,"15,971","12,897","45,878","21,158",,"17,243",,,
2002,"28,905","15,433","5,881",,"9,156","11,618","28,535","10,498",,"8,328",,,
,,,,,,,,,,,,,
"and in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. .........................farms, 2007",346,498,180,,268,209,502,202,,351,,,
2002,429,509,225,,327,255,612,235,,426,,,
"acres, 2007","3,146","8,185",952,,"2,646","3,094","4,070","1,638",,"3,320",,,
2002,"3,410","9,481","1,342",,"3,203","5,432","4,170","1,760",,"3,971",,,
"astureland, all types ......................................................farms, 2007",749,600,419,,438,324,946,384,,590,,,
2002,836,621,438,,519,319,"1,068",434,,684,,,
"acres, 2007","68,349","35,707","21,250",,"27,961","23,922","72,474","41,248",,"29,331",,,
2002,"72,046","39,987","17,770",,"31,907","23,450","70,139","36,761",,"32,707",,,
,,,,,,,,,,,,,
ONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"and enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ...............farms, 2007",11,314,-,,9,154,9,6,,-,,,
2002,9,236,-,,9,152,-,4,,-,,,
"acres, 2007",513,"17,143",-,,427,"6,158",20,106,,-,,,
2002,422,"11,259",-,,475,"6,129",-,147,,-,,,
,,,,,,,,,,,,,
and enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ........................................................................farms, 2007",29,70,9,,15,38,21,9,,20,,,
2002,61,118,53,,48,33,183,19,,51,,,
"acres, 2007","11,683","56,907",302,,"2,857","12,241",212,177,,"1,539",,,
2002,"13,242","58,546",858,,"3,996","13,053","1,002",388,,"1,841",,,
ee footnote(s) at end of table.,,,,,,,,,,#NAME?,,,
Item,Coffee,Crockett,Cumberland,Davidson,Decatur,DeKalb,Dickson,Dyer,,,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007",132,154,101,70,128,103,201,133,,,,,
2002,183,142,117,77,126,125,255,124,,,,,
"acres, 2007","5,154","12,848","5,165","2,996","6,635","3,686","6,376","17,968",,,,,
2002,"5,919","8,561","4,761","2,452","5,690","3,752","6,175","8,303",,,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) .......................... farms, 2007",72,131,71,55,90,78,148,112,,,,,
2002,136,136,103,67,115,113,231,107,,,,,
"acres, 2007","2,989","7,576","2,975","2,031","5,230","2,705","4,212","7,710",,,,,
2002,"4,960","7,946","4,020","2,302","5,278","3,564","5,837","6,693",,,,,
"Cropland on which all crops failed ........................... farms, 2007",64,26,45,20,43,45,66,28,,,,,
2002,57,15,16,15,16,18,37,25,,,,,
"acres, 2007","2,165","5,272","2,190",965,"1,405",981,"2,164","10,258",,,,,
2002,(D),615,(D),150,412,188,322,"1,610",,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ...................... farms, 2007",-,-,-,-,-,-,-,-,,,,,
2002,2,-,1,-,-,-,3,-,,,,,
"acres, 2007",-,-,-,-,-,-,-,-,,,,,
2002,(D),-,(D),-,-,-,16,-,,,,,
,,,,,,,,,,,,,
"Total woodland ................................................................ farms, 2007",551,133,485,263,271,394,801,121,,,,,
2002,616,114,542,260,315,495,943,119,,,,,
"acres, 2007","22,774","5,444","36,162","10,540","21,603","22,669","38,414","5,442",,,,,
2002,"24,493","5,194","33,117","11,981","28,411","24,743","47,759","7,226",,,,,
,,,,,,,,,,,,,
"Woodland pastured ..................................................... farms, 2007",301,56,274,139,130,255,457,40,,,,,
2002,306,56,318,161,169,320,517,50,,,,,
"acres, 2007","7,850","1,449","12,798","4,354","6,836","10,906","12,063","1,441",,,,,
2002,"9,376",827,"9,280","5,875","8,738","12,536","15,830","2,169",,,,,
"Woodland not pastured ............................................... farms, 2007",361,89,327,154,202,208,540,93,,,,,
2002,403,79,351,150,218,269,653,82,,,,,
"acres, 2007","14,924","3,995","23,364","6,186","14,767","11,763","26,351","4,001",,,,,
2002,"15,117","4,367","23,837","6,106","19,673","12,207","31,929","5,057",,,,,
,,,,,,,,,,,,,
"Permanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) .................. farms, 2007",629,176,541,325,254,477,792,221,,,,,
2002,466,137,338,255,204,386,640,164,,,,,
"acres, 2007","30,123","7,437","29,037","11,598","18,781","30,707","39,139","12,531",,,,,
2002,"21,527","8,400","12,905","13,093","16,896","21,706","30,117","8,507",,,,,
,,,,,,,,,,,,,
"Land in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. ......................... farms, 2007",450,183,362,205,207,320,601,168,,,,,
2002,547,184,424,274,216,370,692,150,,,,,
"acres, 2007","3,262","2,347","3,035","1,805","2,903","3,216","6,329","1,787",,,,,
2002,"3,944","5,017","3,849","2,799","3,129","3,774","6,430","2,551",,,,,
"Pastureland, all types ...................................................... farms, 2007",803,241,717,424,334,600,"1,065",315,,,,,
2002,824,238,733,453,346,731,"1,230",264,,,,,
"acres, 2007","52,394","16,716","57,468","22,551","35,055","53,633","69,916","24,459",,,,,
2002,"53,736","20,147","44,706","29,332","41,156","57,668","80,364","23,104",,,,,
,,,,,,,,,,,,,
CONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Land enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ............... farms, 2007",17,146,21,-,39,8,16,132,,,,,
2002,36,68,20,-,51,16,23,87,,,,,
"acres, 2007",786,"7,804","1,372",-,"1,718",257,919,"7,049",,,,,
2002,"1,642","3,260","1,759",-,"2,223",714,857,"5,545",,,,,
,,,,,,,,,,,,,
Land enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ....................................................................... farms, 2007",50,88,5,4,9,80,18,147,,,,,
2002,67,137,21,1,19,67,60,129,,,,,
"acres, 2007","27,502","84,519",661,64,"3,832","5,847","1,346","145,299",,,,,
2002,"28,427","75,995",967,(D),"4,392","4,430","1,563","113,848",,,,,
ee footnote(s) at end of table.,,,,,,,,#NAME?,,,,,
Item,Fayette,Fentress,Franklin,Gibson,Giles,,Grainger,Greene,Grundy,,,,
AND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
otal cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland .............................................................farms, 2007",284,79,126,344,225,,132,347,43,,,,
2002,269,82,147,360,196,,201,510,62,,,,
"acres, 2007","30,031","2,902","7,289","22,823","9,424",,"2,722","7,492","2,939",,,,
2002,"25,173","2,829","4,205","17,740","6,509",,"3,749","7,267","1,472",,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) ...........................farms, 2007",251,50,79,318,166,,87,229,25,,,,
2002,262,73,122,339,163,,166,422,54,,,,
"acres, 2007","23,012","1,414","3,054","17,069","6,461",,"1,895","4,874","1,444",,,,
2002,"24,264","2,140","3,267","15,932","5,945",,"3,224","5,786","1,355",,,,
"Cropland on which all crops failed ...........................farms, 2007",43,34,54,35,69,,43,124,21,,,,
2002,16,17,39,33,40,,58,114,12,,,,
"acres, 2007",(D),"1,488","4,224","5,754","2,963",,811,"2,605","1,495",,,,
2002,893,689,938,"1,808",564,,495,"1,411",117,,,,
,,,,,,,,,,,,,
"Cropland in cultivated summer fallow ......................farms, 2007",2,-,4,-,-,,7,5,-,,,,
2002,3,-,-,-,-,,11,18,-,,,,
"acres, 2007",(D),-,11,-,-,,16,13,-,,,,
2002,16,-,-,-,-,,30,70,-,,,,
,,,,,,,,,,,,,
"otal woodland ................................................................farms, 2007",417,329,519,367,"1,050",,613,"1,665",186,,,,
2002,424,316,507,377,"1,138",,753,"1,919",205,,,,
"acres, 2007","38,560","19,613","17,387","11,636","54,030",,"22,633","35,353","9,801",,,,
2002,"42,380","21,720","18,161","12,441","56,198",,"29,023","40,427","12,033",,,,
,,,,,,,,,,,,,
"Woodland pastured ......................................................farms, 2007",184,183,277,132,734,,378,987,90,,,,
2002,180,177,255,142,849,,473,"1,140",82,,,,
"acres, 2007","6,864","6,986","6,369","2,749","34,695",,"8,265","14,660","1,454",,,,
2002,"8,001","5,178","5,206","3,535","35,978",,"10,551","16,426","1,864",,,,
"Woodland not pastured ................................................farms, 2007",291,198,312,269,467,,353,963,152,,,,
2002,296,203,331,282,472,,456,"1,090",168,,,,
"acres, 2007","31,696","12,627","11,018","8,887","19,335",,"14,368","20,693","8,347",,,,
2002,"34,379","16,542","12,955","8,906","20,220",,"18,472","24,001","10,169",,,,
,,,,,,,,,,,,,
"ermanent pasture and rangeland, other than",,,,,,,,,,,,,
"cropland and woodland pastured (see text) ...................farms, 2007",434,403,663,391,"1,259",,655,"1,938",178,,,,
2002,358,232,468,337,"1,071",,472,"1,232",150,,,,
"acres, 2007","26,989","28,461","30,876","17,587","95,220",,"25,822","66,837","9,127",,,,
2002,"50,271","15,206","21,107","17,494","75,788",,"18,152","37,747","7,837",,,,
,,,,,,,,,,,,,
"and in farmsteads, buildings, livestock",,,,,,,,,,,,,
"facilities, ponds, roads, wasteland, etc. .........................farms, 2007",378,264,456,436,721,,455,"1,505",169,,,,
2002,428,272,613,463,847,,568,"1,691",250,,,,
"acres, 2007","7,252","2,040","2,848","7,276","8,188",,"3,602","8,432","1,603",,,,
2002,"8,294","2,336","5,119","9,210","8,762",,"4,853","9,196","2,160",,,,
"astureland, all types ......................................................farms, 2007",605,524,854,561,"1,565",,853,"2,572",236,,,,
2002,591,462,855,575,"1,721",,990,"2,777",244,,,,
"acres, 2007","56,925","49,140","52,122","36,581","159,342",,"50,425","116,630","15,735",,,,
2002,"81,808","38,827","48,547","36,766","171,939",,"54,919","125,317","17,647",,,,
,,,,,,,,,,,,,
ONSERVATION PRACTICES AND CROP INSURANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"and enrolled in Conservation Reserve, Wetlands",,,,,,,,,,,,,
"Reserve, Farmable Wetlands, or Conservation",,,,,,,,,,,,,
"Reserve Enhancement Programs (see text) 1 ...............farms, 2007",272,21,31,344,82,,-,6,3,,,,
2002,204,9,29,279,77,,-,20,6,,,,
"acres, 2007","26,128",312,"1,316","17,811","4,463",,-,168,62,,,,
2002,"20,373",179,705,"13,186","3,001",,-,218,143,,,,
,,,,,,,,,,,,,
and enrolled in crop insurance programs,,,,,,,,,,,,,
"(see text) ........................................................................farms, 2007",81,3,104,190,129,,26,62,18,,,,
2002,108,27,144,262,67,,114,308,18,,,,
"acres, 2007","67,855",(D),"45,350","162,007","24,830",,765,"3,082","4,400",,,,
2002,"95,145","1,054","49,226","179,285","18,588",,892,"3,679","2,050",,,,
ee footnote(s) at end of table.,,,,,,,,,#NAME?,,,,
Item,Hamblen,Hamilton,Hancock,Hardeman,Hardin,Hawkins,Haywood,Henderson,,,,,
LAND IN FARMS ACCORDING TO USE - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total cropland - Con.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Other cropland ............................................................ farms, 2007",75,88,63,200,164,184,196,335,,,,,
2002,84,81,121,198,206,351,145,373,,,,,
"acres, 2007","2,583","2,702","1,873","15,193","13,005","3,735","16,557","18,374",,,,,
2002,"1,451","2,034","1,754","14,473","12,998","5,609","12,916","17,994",,,,,
,,,,,,,,,,,,,
Cropland idle or used for cover crops or,,,,,,,,,,,,,
"soil improvement, but not harvested and",,,,,,,,,,,,,
"not pastured or grazed (see text) .......................... farms, 2007",56,57,47,187,132,123,156,288,,,,,
2002,58,72,112,182,191,282,129,352,,,,,
"acres, 2007","1,895","1,610","1,388","13,737","9,327","2,342","10,838","14,852",,,,,
2002,732,"1,779","1,634","13,404","12,499","4,907","11,569","16,907",,,,,
"Cropland on which all crops failed ........................... farms, 2007",23,36,23,20,40,68,46,67,,,,,
2002,27,10,18,26,26,85,26,38,,,,,
"acres, 2007",688,"1,092",485,"1,456","3,678","1,380","5,719","3,513",,,,,
